龙翔路小区 | 2室1厅1卫|60㎡|简装|东西 | 5200 | http://www.zufangzi.com/detail/598237.html
龙翔路小区 | 3室1厅1卫|72㎡|简装|西北 | 7000 | http://www.zufangzi.com/detail/575765.html
龙翔路小区 | 2室1厅1卫|9㎡|精装修|南 | 2390 | http://www.zufangzi.com/detail/283842.html
龙翔路小区 | 2室1厅1卫|15㎡|精装修|南 | 3290 | http://www.zufangzi.com/detail/528897.html
龙翔路小区 | 2室1厅1卫|10㎡|精装修|南 | 2860 | http://www.zufangzi.com/detail/528898.html
龙翔路小区 | 2室1厅1卫|18㎡|精装修| | 3130 | http://www.zufangzi.com/detail/262659.html
龙翔路小区 | 1室1厅1卫|42㎡|精装修|东西 | 6500 | http://www.zufangzi.com/detail/579214.html
龙翔路小区 | 2室1厅1卫|15㎡|精装修|南 | 3290 | http://www.zufangzi.com/detail/524390.html
绿城百合春晓苑 | 2室2厅1卫|88㎡|精装修|南北 | 2500 | http://www.zufangzi.com/detail/603734.html
林奥嘉园 | 2室2厅2卫|120㎡|简装|南 | 6500 | http://www.zufangzi.com/detail/561928.html
林奥嘉园 | 3室2厅1卫|140㎡|简装|南北 | 8000 | http://www.zufangzi.com/detail/415110.html
新街坊 | 3室1厅1卫|105㎡|精装修|南 | 7500 | http://www.zufangzi.com/detail/601845.html
新街坊 | 2室1厅1卫|77㎡|精装修|西 | 4600 | http://www.zufangzi.com/detail/596099.html
新街坊 | 2室1厅1卫|97㎡|精装修|南北 | 6500 | http://www.zufangzi.com/detail/584069.html
新街坊 | 3室2厅1卫|135㎡|精装修|南北 | 8500 | http://www.zufangzi.com/detail/569976.html
新街坊 | 1室1厅1卫|58㎡|精装修|东 | 4500 | http://www.zufangzi.com/detail/604797.html
新街坊 | 1室2厅1卫|75㎡|精装修|东 | 5000 | http://www.zufangzi.com/detail/598097.html
平安嘉苑 | 2室2厅1卫|96㎡|精装修|东 | 6900 | http://www.zufangzi.com/detail/601757.html
平安嘉苑 | 3室1厅1卫|90㎡|精装修|南 | 6500 | http://www.zufangzi.com/detail/585135.html
平安嘉苑 | 2室1厅1卫|96㎡|精装修|东北 | 6300 | http://www.zufangzi.com/detail/579362.html
平安嘉苑 | 2室1厅1卫|64㎡|精装修|东 | 5000 | http://www.zufangzi.com/detail/583348.html
平安嘉苑 | 1室0厅1卫|60㎡|精装修|东 | 4500 | http://www.zufangzi.com/detail/604216.html
平安嘉苑 | 1室1厅1卫|50㎡|精装修|西 | 4500 | http://www.zufangzi.com/detail/583772.html
平安嘉苑 | 1室1厅1卫|64㎡|精装修|南北 | 4500 | http://www.zufangzi.com/detail/564872.html
平安嘉苑 | 1室1厅1卫|70㎡|精装修|东 | 4600 | http://www.zufangzi.com/detail/600578.html
